,network_source,tweet,date,compound_score,pos_score,neu_score,neg_score
0,BBC News (World),"RT @BBCSport: The draw has been made for the Champions League group stages.

Full details: https://t.co/QBp1aNLZgR https://t.co/FOUTB1IYU0",Thu Aug 30 17:23:46 +0000 2018,0.5267,0.175,0.825,0.0
1,BBC News (World),"RT @BBCSport: You know how Roma wanted to avoid Real Madrid?

Naturally, they've been drawn into the same group as them.

#UCLDraw LIVE 👉 h…",Thu Aug 30 16:45:56 +0000 2018,-0.296,0.0,0.913,0.087
2,BBC News (World),"RT @BBCSport: It's almost time for the #UCLDraw 🙌

32 teams - including four from England - await their European opponents.

LIVE 👉 https:/…",Thu Aug 30 16:18:06 +0000 2018,0.1027,0.069,0.931,0.0
3,BBC News (World),"RT @BBC_HaveYourSay: The Pakistan PM has been making his nine-mile journey to work by helicopter. But how much does it cost?

https://t.co/…",Thu Aug 30 15:52:58 +0000 2018,0.0,0.0,1.0,0.0
4,BBC News (World),Carl Bernstein: Trump attacks 'degenerate' Watergate reporter https://t.co/EtJ7d3fSMr,Thu Aug 30 15:01:39 +0000 2018,-0.4404,0.0,0.707,0.293
5,BBC News (World),South Africa violence targets Soweto's foreign-owned shops https://t.co/IcI4Ual33A,Thu Aug 30 14:12:04 +0000 2018,-0.6249,0.0,0.631,0.369
6,BBC News (World),"Burst dam floods 85 villages in central Myanmar

https://t.co/M2dawdLAN6 https://t.co/nPjbRGyv0y",Thu Aug 30 13:59:27 +0000 2018,0.0,0.0,1.0,0.0
7,BBC News (World),China officials 'faked water tests with bottled water' https://t.co/8123JNtxRT,Thu Aug 30 13:36:44 +0000 2018,0.0,0.0,1.0,0.0
8,BBC News (World),Why confidence in Argentina's economy is dwindling https://t.co/FStHUqzn0q,Thu Aug 30 13:09:08 +0000 2018,0.5106,0.32,0.68,0.0
9,BBC News (World),"Mystery woman, caught on surveillance camera wearing what looked like broken wrist restraints, found safe https://t.co/yErqwp2SDE",Thu Aug 30 12:47:02 +0000 2018,0.3182,0.251,0.605,0.144
10,BBC News (World),Google disputes Trump's claim that it didn't promote his State of the Union address https://t.co/oeK6UnGldd,Thu Aug 30 12:43:22 +0000 2018,-0.508,0.0,0.752,0.248
11,BBC News (World),Calls to name Nato headquarters after US Senator John McCain https://t.co/8hyR38sh3x,Thu Aug 30 12:27:02 +0000 2018,0.0,0.0,1.0,0.0
12,BBC News (World),Dutroux murders: Belgian child-killer's letter angers parents https://t.co/2wMsf3gPhQ,Thu Aug 30 12:22:48 +0000 2018,-0.8074,0.0,0.451,0.549
13,BBC News (World),Roy Oliver: Ex-police officer jailed for Jordan Edwards shooting https://t.co/HKMr0z6552,Thu Aug 30 12:19:55 +0000 2018,-0.4939,0.0,0.738,0.262
14,BBC News (World),😲 https://t.co/4Y2uJNEHMN,Thu Aug 30 11:50:22 +0000 2018,0.0,0.0,1.0,0.0
15,BBC News (World),"RT @BBCAfrica: “What is wrong about sex anyway?”

Although she comes from a traditional family in rural Kenya, 21 year-old Jane speaks free…",Thu Aug 30 10:58:15 +0000 2018,-0.4767,0.0,0.871,0.129
16,BBC News (World),"Macron: French 'Gauls' resistant to change, unlike 'Lutheran' Danes https://t.co/mHKoM42wzc",Thu Aug 30 10:57:38 +0000 2018,0.0,0.0,1.0,0.0
17,BBC News (World),"RT @BBCNews: Prince Harry sings King George's line at charity performance of Hamilton 🎤 

https://t.co/57XQEYUUQb https://t.co/eZneRJvfr6",Thu Aug 30 10:51:36 +0000 2018,0.4215,0.167,0.833,0.0
18,BBC News (World),"RT @BBCMonitoring: Profiles of key militia groups operating in Libya's capital.
https://t.co/BrERFQ9Fye",Thu Aug 30 10:49:14 +0000 2018,0.0,0.0,1.0,0.0
19,BBC News (World),"RT @BBCNews: Chequers deal ""delivers on the #Brexit vote"" and is ""good for UK and EU"", Theresa May says while on a trip to Kenya

https://t…",Thu Aug 30 10:37:25 +0000 2018,0.4404,0.108,0.892,0.0
20,CBS News,"""I'm black, he was white. I'm young, he wasn't so young,"" but Arizona Cardinals star Larry Fitzgerald said his unli… https://t.co/HRmNGwnhWo",Thu Aug 30 17:48:18 +0000 2018,0.0,0.0,1.0,0.0
21,CBS News,"""To me, John really did reflect our country in its true form,"" says Tommy Espinoza, friend of John McCain.… https://t.co/x00Lr8K09c",Thu Aug 30 17:40:26 +0000 2018,0.7184,0.25,0.75,0.0
22,CBS News,"Grant Woods, former AZ Attorney General, talks about his first two hours as John McCain's chief of staff: ""It was o… https://t.co/p19EjDe1Jr",Thu Aug 30 17:22:28 +0000 2018,0.3612,0.106,0.894,0.0
23,CBS News,"This apple has fallen far from the tree — Red Delicious is no longer America's most popular choice, as another kind… https://t.co/k05Gx7i4US",Thu Aug 30 17:09:42 +0000 2018,0.4754,0.238,0.597,0.165
24,CBS News,SPECIAL REPORT: McCain memorial service begins with the senator's longtime friend Joe Biden set to deliver eulogy… https://t.co/EAXYsblUIF,Thu Aug 30 17:04:20 +0000 2018,0.7672,0.293,0.707,0.0
25,CBS News,WATCH: Pallbearers carry Senator John McCain's casket into Phoenix church for memorial service… https://t.co/NzE2sP2x7a,Thu Aug 30 16:59:48 +0000 2018,0.0,0.0,1.0,0.0
26,CBS News,WATCH: Motorcade arrives at Senator John McCain's memorial service at North Phoenix Baptist Church… https://t.co/4vQijxhbFc,Thu Aug 30 16:49:58 +0000 2018,0.0,0.0,1.0,0.0
27,CBS News,Man charged with making death threats to Boston Globe over series of newspaper editorials condemning President Trum… https://t.co/FfR3Bqigbz,Thu Aug 30 16:34:52 +0000 2018,-0.8176,0.0,0.638,0.362
28,CBS News,"WATCH LIVE: Family, friends and political leaders are set to remember Senator John McCain at his Arizona memorial s… https://t.co/Ra00OUBnGI",Thu Aug 30 16:27:38 +0000 2018,0.4767,0.14,0.86,0.0
29,CBS News,"President Trump insists White House is a ""smooth running machine"" in wake of Don McGahn ouster… https://t.co/GYJM6aAkJH",Thu Aug 30 16:20:34 +0000 2018,0.0,0.0,1.0,0.0
30,CBS News,China says it won't be pressured by the U.S. to move faster on economic reform https://t.co/gNxI8tHyjh https://t.co/fjr95JrO32,Thu Aug 30 16:05:17 +0000 2018,0.1695,0.094,0.906,0.0
31,CBS News,"American Academy of Pediatrics drops kids' age limit for rear-facing car seats, urging parents to keep them there u… https://t.co/oonmGzJ4Ty",Thu Aug 30 15:50:15 +0000 2018,0.0,0.0,1.0,0.0
32,CBS News,"Florida sheriff warns ""hotheads"" after ""stand your ground"" shooting involving Uber driver: https://t.co/dRkJbJWq8Q https://t.co/NID0KzdWOj",Thu Aug 30 15:35:09 +0000 2018,-0.1027,0.0,0.903,0.097
33,CBS News,Russia military boosts naval presence in Mediterranean as U.S. and Vladimir Putin trade warnings Syria offensive… https://t.co/9AC3MaIhy9,Thu Aug 30 15:00:45 +0000 2018,0.0258,0.118,0.769,0.113
34,CBS News,South Carolina Senator @LindseyGrahamSC offers a rare emotional reflection on the death of his friend John McCain:… https://t.co/A2z4t9nLOG,Thu Aug 30 14:40:20 +0000 2018,-0.0258,0.211,0.617,0.172
35,CBS News,"Jailed NSA leaker Reality Winner says she ""can't thank [President Trump] enough"" for his tweet calling her sentence… https://t.co/EvltVGtFSb",Thu Aug 30 14:25:20 +0000 2018,-0.1306,0.151,0.637,0.211
36,CBS News,"A ""minute pressure leak"" has been detected aboard the International Space Station: https://t.co/fL0UUXzzMo https://t.co/VDP8dVfDao",Thu Aug 30 14:09:31 +0000 2018,-0.5423,0.07,0.637,0.293
37,CBS News,"HAMILTON AND HARRY: While attending a performance of ""Hamilton,"" Prince Harry, who is King George III's great-great… https://t.co/Et86n4RpiE",Thu Aug 30 13:50:09 +0000 2018,0.0,0.0,1.0,0.0
38,CBS News,A Texas Republican Party tweet recalling Democratic Senate hopeful Beto O'Rourke's past arrests has triggered a par… https://t.co/xybtolMfoD,Thu Aug 30 13:29:46 +0000 2018,0.4767,0.274,0.594,0.132
39,CBS News,"Lindsey Graham on President Trump's treatment of John McCain: ""It pisses me off to no end, and I let the president… https://t.co/NQOWVzyLAX",Thu Aug 30 13:10:44 +0000 2018,-0.5574,0.0,0.805,0.195
40,CNN,"RT @CNNPolitics: Tommy Espinoza, friend of the late Sen. John McCain, recalls scrambling to get him a Mariachi band on his birthday: ""I fig…",Thu Aug 30 17:45:31 +0000 2018,0.4939,0.127,0.873,0.0
41,CNN,"Meet the Arab superhero fighting crime and smashing stereotypes. Emara doesn't wear spandex, skintight leather or m… https://t.co/kSd4xx3lMM",Thu Aug 30 17:44:38 +0000 2018,-0.7184,0.0,0.727,0.273
42,CNN,"The FDA is warning people about the potential dangers of eating food prepared with liquid nitrogen, saying serious… https://t.co/FX6DyumFzW",Thu Aug 30 17:40:04 +0000 2018,-0.5719,0.081,0.681,0.238
43,CNN,Google Assistant can now understand two languages at once https://t.co/ziteq83Lhy https://t.co/p3GnODEYp7,Thu Aug 30 17:30:04 +0000 2018,0.0,0.0,1.0,0.0
44,CNN,"A study called ""The Habitual Diet and Avocado Trial"" will pay participants $300 to eat an avocado every day for six… https://t.co/wm1qFWzaou",Thu Aug 30 17:19:33 +0000 2018,-0.1027,0.0,0.935,0.065
45,CNN,"A memorial service honoring the life and legacy of Sen. John McCain has begun at a church in Phoenix.

Watch live:… https://t.co/zVFsjlN5zR",Thu Aug 30 17:08:11 +0000 2018,0.5106,0.148,0.852,0.0
46,CNN,The casket carrying the body of Sen. John McCain is brought into the North Phoenix Baptist Church where a memorial… https://t.co/zlaNZDSSOa,Thu Aug 30 17:03:54 +0000 2018,0.0,0.0,1.0,0.0
47,CNN,President Trump and his former personal attorney Michael Cohen devised a plan to purchase potentially damaging stor… https://t.co/93msKOHT2A,Thu Aug 30 16:57:08 +0000 2018,-0.5106,0.0,0.829,0.171
48,CNN,"RT @CNNPolitics: A source close to the Palin family tells CNN: ""Out of respect for Sen. McCain and his family we have nothing to add at thi…",Thu Aug 30 16:47:51 +0000 2018,0.4767,0.11,0.89,0.0
49,CNN,Starbucks is quietly testing a new Frappuccino that has fewer calories and less sugar https://t.co/3NslwwHiqy https://t.co/zN1Et64Zaa,Thu Aug 30 16:35:24 +0000 2018,0.0,0.0,1.0,0.0
50,CNN,RT @CNNPolitics: The casket of Sen. John McCain departs the Arizona State Capitol to travel to the North Phoenix Baptist Church for a memor…,Thu Aug 30 16:20:23 +0000 2018,0.0,0.0,1.0,0.0
51,CNN,"Los Angeles is renaming ""Rodeo Road"" to ""Obama Boulevard"" to honor former President Obama https://t.co/JuELZbc7CU https://t.co/NLpudCDC81",Thu Aug 30 16:20:07 +0000 2018,0.4939,0.176,0.824,0.0
52,CNN,"Former Alaska Gov. Sarah Palin is not invited to any of the memorial services for her former running mate, Arizona… https://t.co/FIdyX8phOo",Thu Aug 30 16:10:07 +0000 2018,0.0,0.0,1.0,0.0
53,CNN,PETA wants to erect a roadside memorial for lobsters killed in a car wreck https://t.co/nyKdIyqJ1z https://t.co/qnvlHmRklz,Thu Aug 30 16:00:04 +0000 2018,-0.8126,0.0,0.619,0.381
54,CNN,"China's top search engine is suing a comedian, demanding damages and a public apology, after he mocked the company… https://t.co/tZo6UDJYU1",Thu Aug 30 15:50:04 +0000 2018,-0.5574,0.217,0.426,0.357
55,CNN,Jehovah's Witnesses are a tiny minority in South Korea. But they make up the majority of the thousands who have bee… https://t.co/WzWi80Klgd,Thu Aug 30 15:49:35 +0000 2018,0.0,0.0,1.0,0.0
56,CNN,'Fake meat' is at the center of a food fight in Missouri https://t.co/OEDB0Ks0n8 https://t.co/QmzeEw2UyO,Thu Aug 30 15:40:05 +0000 2018,-0.6908,0.0,0.659,0.341
57,CNN,"An Uber driver in Florida stood his ground and killed a man who threatened to shoot him, according to the sheriff.… https://t.co/agVyEQ8RnT",Thu Aug 30 15:30:09 +0000 2018,-0.872,0.0,0.645,0.355
58,CNN,"Roberta McCain, John McCain's 106-year-old mother, is expected to attend the services for her son at the Capitol, t… https://t.co/W0AF0AwBpc",Thu Aug 30 15:25:12 +0000 2018,0.0,0.0,1.0,0.0
59,CNN,President Trump just keeps claiming things he said on tape aren't real | Analysis by @CillizzaCNN… https://t.co/WwCC92ei5K,Thu Aug 30 15:20:08 +0000 2018,0.0,0.0,1.0,0.0
60,Fox News,Former Vice President @JoeBiden speaks at a memorial service held for the late Senator McCain at North Phoenix Bapt… https://t.co/Yb9YqnZKKX,Thu Aug 30 17:47:30 +0000 2018,0.0,0.0,1.0,0.0
61,Fox News,".@LarryFitzgerald remembering Senator John McCain: ""After getting to know  Senator McCain, I felt compelled to visi… https://t.co/nGYo7IjqR1",Thu Aug 30 17:46:15 +0000 2018,0.0516,0.074,0.926,0.0
62,Fox News,"MS-13 gang member charged after teen's remains found on Long Island, officials say.
https://t.co/qKuojtaxdj",Thu Aug 30 17:40:25 +0000 2018,-0.2023,0.0,0.878,0.122
63,Fox News,Aaron Rodgers reportedly NFL’s highest-paid player after signing extension with Packers https://t.co/kdzwDJ6gtx,Thu Aug 30 17:28:10 +0000 2018,0.0,0.0,1.0,0.0
64,Fox News,"McCain's funeral will be attended by Obama, Bush and others: A list of notable people paying their respects https://t.co/etLM0r0lIW",Thu Aug 30 17:12:46 +0000 2018,-0.0516,0.111,0.769,0.12
65,Fox News,Senator McCain’s motorcade and family arrive at North Phoenix Baptist Church for memorial service… https://t.co/guniFemptc,Thu Aug 30 17:06:23 +0000 2018,0.0,0.0,1.0,0.0
66,Fox News,Senator McCain’s motorcade and family arrive at North Phoenix Baptist Church for memorial service… https://t.co/BdExCo3pbd,Thu Aug 30 16:54:45 +0000 2018,0.0,0.0,1.0,0.0
67,Fox News,A memorial service is held for Senator McCain at North Phoenix Baptist Church. https://t.co/S7CpL5wLDa,Thu Aug 30 16:47:37 +0000 2018,0.0,0.0,1.0,0.0
68,Fox News,Google refutes Trump's accusation that it snubbed State of the Union https://t.co/9MBi9KLdOW,Thu Aug 30 16:35:00 +0000 2018,-0.6124,0.0,0.667,0.333
69,Fox News,".@RepLeeZeldin: “What’s important to note is that these military exercises, which take place all throughout the yea… https://t.co/dUVTKOoM1M",Thu Aug 30 16:33:23 +0000 2018,0.2023,0.096,0.904,0.0
70,Fox News,Senator McCain’s motorcade departs Arizona State Capitol for today’s memorial https://t.co/nAPLsXfkjS https://t.co/STwLX4nb2W,Thu Aug 30 16:24:37 +0000 2018,0.0,0.0,1.0,0.0
71,Fox News,McCain family gathers at Arizona State Capitol before Senator McCain’s motorcade departs for today’s memorial https://t.co/V3marmshDd,Thu Aug 30 16:18:00 +0000 2018,0.0,0.0,1.0,0.0
72,Fox News,.@DavidAsmanfox: “It’s a broad-based economic growth that we’re having.” https://t.co/VDnuUlyc8Q @AmericaNewsroom https://t.co/q08uTaO5B7,Thu Aug 30 16:15:14 +0000 2018,0.3818,0.206,0.794,0.0
73,Fox News,The motorcade carrying the body of Senator John McCain departs the Arizona State Capitol and proceeds to North Phoe… https://t.co/BAYwaDpKkf,Thu Aug 30 16:05:49 +0000 2018,0.0,0.0,1.0,0.0
74,Fox News,Obscure case could determine whether Robert Mueller's Russia report sees light of day (via @brookefoxnews) https://t.co/YanHXhtIZb,Thu Aug 30 16:05:00 +0000 2018,0.0,0.0,1.0,0.0
75,Fox News,Security Guard Pardoned on Gun Charge Achieves Dream of Becoming a Cop https://t.co/P5QVupL1yu https://t.co/XeZj3DIrko,Thu Aug 30 16:00:01 +0000 2018,0.4404,0.356,0.508,0.136
76,Fox News,"Original Charlie's Angel @realjaclynsmith talks to @HarveyLevinTMZ about her family, friendships and experiences in… https://t.co/GjDrfJats3",Thu Aug 30 15:57:38 +0000 2018,0.5994,0.274,0.726,0.0
77,Fox News,"Democrats call for delay, accuse GOP of withholding past Kavanaugh documents; @pdoocy reports… https://t.co/mY03CDS3GD",Thu Aug 30 15:52:57 +0000 2018,-0.4767,0.0,0.745,0.255
78,Fox News,DOJ sides with Asian-American students alleging discrimination at Harvard https://t.co/NAXDMNE0tl,Thu Aug 30 15:45:01 +0000 2018,0.0,0.0,1.0,0.0
79,Fox News,"Winter will be 'teeth-chattering' cold, have plenty of snow, Farmers' Almanac claims https://t.co/vreb5HIHrF",Thu Aug 30 15:30:00 +0000 2018,0.0,0.0,1.0,0.0
80,The New York Times,The Postal Service blamed “human error” for the release of a Democratic House candidate’s security clearance form —… https://t.co/5J1i0A00OR,Thu Aug 30 17:42:47 +0000 2018,-0.1779,0.112,0.744,0.144
81,The New York Times,"RT @TimHerrera: Asking for a raise is difficult, uncomfortable and can be packed with hidden subtext. Here’s a guide on exactly how to do i…",Thu Aug 30 17:30:07 +0000 2018,-0.6249,0.0,0.805,0.195
82,The New York Times,"A fertility doctor admitted to using his sperm on unwitting women. Decades later, his biological children want answ… https://t.co/DquuJCp944",Thu Aug 30 17:15:04 +0000 2018,0.1779,0.144,0.856,0.0
83,The New York Times,RT @tmagazine: Has this neighborhood in Seoul figured out the secret to slow living? https://t.co/enRMoIJnAB https://t.co/IEzxamCH7I,Thu Aug 30 17:00:10 +0000 2018,0.0,0.0,1.0,0.0
84,The New York Times,"Orlando has long been a leading tourist destination. Now, it is vying for another distinction: to be a pioneer in w… https://t.co/jeXGBZ1J39",Thu Aug 30 16:45:07 +0000 2018,0.0,0.0,1.0,0.0
85,The New York Times,A new government proposal in England would ban the sale of energy drinks like Red Bull to children https://t.co/quWEHb0nlD,Thu Aug 30 16:30:07 +0000 2018,0.0,0.198,0.647,0.155
86,The New York Times,"Students in Ohio were instructed to select 8 passengers from a list of racially, ethnically and religiously diverse… https://t.co/gMtky8BL9n",Thu Aug 30 16:15:10 +0000 2018,0.0,0.0,1.0,0.0
87,The New York Times,"In Opinion

Contributing opinion writer Roxane Gay writes: ""We spend so little energy thinking about justice for vi… https://t.co/1PHQBrKrsg",Thu Aug 30 16:00:11 +0000 2018,0.6689,0.244,0.756,0.0
88,The New York Times,"""The only way to exorcise the hatred in your heart is to find some measure of forgiveness — for yourself."" https://t.co/s64uBAvv9k",Thu Aug 30 15:45:06 +0000 2018,-0.4767,0.086,0.741,0.173
89,The New York Times,"New York City was briefly relabeled as ""Jewtropolis"" on Snapchat and other popular apps on Thursday morning https://t.co/HFIRd00ifm",Thu Aug 30 15:30:05 +0000 2018,0.4215,0.141,0.859,0.0
90,The New York Times,"Participation in youth football continues to drop, and studies continue to link the sport to brain injury. How much… https://t.co/hXECU6ZDqB",Thu Aug 30 15:15:10 +0000 2018,-0.5994,0.0,0.786,0.214
91,The New York Times,"RT @NYTSports: Alizé Cornet walked on to the tennis court with her shirt on backward. When she took it off to turn it around, she ignited a…",Thu Aug 30 15:00:10 +0000 2018,0.0,0.0,1.0,0.0
92,The New York Times,"""I really, really, really, really need to get her to a hospital A.S.A.P,"" he said about his wife. The call-taker to… https://t.co/0FKYzvfjBJ",Thu Aug 30 14:44:01 +0000 2018,0.0,0.0,1.0,0.0
93,The New York Times,"RT @nytimesworld: Across Australia are scattered 350 Big Things, like the Big Beer Can and the Big Pineapple. They are funny, but some are…",Thu Aug 30 14:30:05 +0000 2018,0.4019,0.144,0.856,0.0
94,The New York Times,"Paul Taylor brought a lyrical musicality, capacity for joy and wide poetic imagination to modern dance over six dec… https://t.co/m0x3SBichU",Thu Aug 30 14:16:05 +0000 2018,0.5859,0.174,0.826,0.0
95,The New York Times,Breaking News: Students suing Harvard over affirmative action policies they say discriminate against Asian-American… https://t.co/c3NaiLUhcE,Thu Aug 30 14:06:34 +0000 2018,-0.2732,0.0,0.87,0.13
96,The New York Times,The EU said that the bloc would be willing to remove all tariffs on cars and other industrial products as part of a… https://t.co/UPfk8HNR1f,Thu Aug 30 14:00:07 +0000 2018,0.0,0.0,1.0,0.0
97,The New York Times,A coastal town on the South Island of New Zealand may ban cats to protect other species https://t.co/6Se9QudEYF,Thu Aug 30 13:46:01 +0000 2018,-0.25,0.123,0.708,0.17
98,The New York Times,RT @maggieNYT: Trump and Cohen were discussing buying decades of info about Trump as Trump prepared for a potential electoral loss and retu…,Thu Aug 30 13:30:15 +0000 2018,-0.1027,0.079,0.826,0.095
99,The New York Times,"Prince Harry sang a line from ""Hamilton"" at the end of a charity performance in London on Wednesday https://t.co/SfR61zcG9W",Thu Aug 30 13:16:00 +0000 2018,0.4215,0.149,0.851,0.0
100,BBC News (World),"RT @BBCSport: The draw has been made for the Champions League group stages.

Full details: https://t.co/QBp1aNLZgR https://t.co/FOUTB1IYU0",Thu Aug 30 17:23:46 +0000 2018,0.5267,0.175,0.825,0.0
101,BBC News (World),"RT @BBCSport: You know how Roma wanted to avoid Real Madrid?

Naturally, they've been drawn into the same group as them.

#UCLDraw LIVE 👉 h…",Thu Aug 30 16:45:56 +0000 2018,-0.296,0.0,0.913,0.087
102,BBC News (World),"RT @BBCSport: It's almost time for the #UCLDraw 🙌

32 teams - including four from England - await their European opponents.

LIVE 👉 https:/…",Thu Aug 30 16:18:06 +0000 2018,0.1027,0.069,0.931,0.0
103,BBC News (World),"RT @BBC_HaveYourSay: The Pakistan PM has been making his nine-mile journey to work by helicopter. But how much does it cost?

https://t.co/…",Thu Aug 30 15:52:58 +0000 2018,0.0,0.0,1.0,0.0
104,BBC News (World),Carl Bernstein: Trump attacks 'degenerate' Watergate reporter https://t.co/EtJ7d3fSMr,Thu Aug 30 15:01:39 +0000 2018,-0.4404,0.0,0.707,0.293
105,BBC News (World),South Africa violence targets Soweto's foreign-owned shops https://t.co/IcI4Ual33A,Thu Aug 30 14:12:04 +0000 2018,-0.6249,0.0,0.631,0.369
106,BBC News (World),"Burst dam floods 85 villages in central Myanmar

https://t.co/M2dawdLAN6 https://t.co/nPjbRGyv0y",Thu Aug 30 13:59:27 +0000 2018,0.0,0.0,1.0,0.0
107,BBC News (World),China officials 'faked water tests with bottled water' https://t.co/8123JNtxRT,Thu Aug 30 13:36:44 +0000 2018,0.0,0.0,1.0,0.0
108,BBC News (World),Why confidence in Argentina's economy is dwindling https://t.co/FStHUqzn0q,Thu Aug 30 13:09:08 +0000 2018,0.5106,0.32,0.68,0.0
109,BBC News (World),"Mystery woman, caught on surveillance camera wearing what looked like broken wrist restraints, found safe https://t.co/yErqwp2SDE",Thu Aug 30 12:47:02 +0000 2018,0.3182,0.251,0.605,0.144
110,BBC News (World),Google disputes Trump's claim that it didn't promote his State of the Union address https://t.co/oeK6UnGldd,Thu Aug 30 12:43:22 +0000 2018,-0.508,0.0,0.752,0.248
111,BBC News (World),Calls to name Nato headquarters after US Senator John McCain https://t.co/8hyR38sh3x,Thu Aug 30 12:27:02 +0000 2018,0.0,0.0,1.0,0.0
112,BBC News (World),Dutroux murders: Belgian child-killer's letter angers parents https://t.co/2wMsf3gPhQ,Thu Aug 30 12:22:48 +0000 2018,-0.8074,0.0,0.451,0.549
113,BBC News (World),Roy Oliver: Ex-police officer jailed for Jordan Edwards shooting https://t.co/HKMr0z6552,Thu Aug 30 12:19:55 +0000 2018,-0.4939,0.0,0.738,0.262
114,BBC News (World),😲 https://t.co/4Y2uJNEHMN,Thu Aug 30 11:50:22 +0000 2018,0.0,0.0,1.0,0.0
115,BBC News (World),"RT @BBCAfrica: “What is wrong about sex anyway?”

Although she comes from a traditional family in rural Kenya, 21 year-old Jane speaks free…",Thu Aug 30 10:58:15 +0000 2018,-0.4767,0.0,0.871,0.129
116,BBC News (World),"Macron: French 'Gauls' resistant to change, unlike 'Lutheran' Danes https://t.co/mHKoM42wzc",Thu Aug 30 10:57:38 +0000 2018,0.0,0.0,1.0,0.0
117,BBC News (World),"RT @BBCNews: Prince Harry sings King George's line at charity performance of Hamilton 🎤 

https://t.co/57XQEYUUQb https://t.co/eZneRJvfr6",Thu Aug 30 10:51:36 +0000 2018,0.4215,0.167,0.833,0.0
118,BBC News (World),"RT @BBCMonitoring: Profiles of key militia groups operating in Libya's capital.
https://t.co/BrERFQ9Fye",Thu Aug 30 10:49:14 +0000 2018,0.0,0.0,1.0,0.0
119,BBC News (World),"RT @BBCNews: Chequers deal ""delivers on the #Brexit vote"" and is ""good for UK and EU"", Theresa May says while on a trip to Kenya

https://t…",Thu Aug 30 10:37:25 +0000 2018,0.4404,0.108,0.892,0.0
120,CBS News,"""I'm black, he was white. I'm young, he wasn't so young,"" but Arizona Cardinals star Larry Fitzgerald said his unli… https://t.co/HRmNGwnhWo",Thu Aug 30 17:48:18 +0000 2018,0.0,0.0,1.0,0.0
121,CBS News,"""To me, John really did reflect our country in its true form,"" says Tommy Espinoza, friend of John McCain.… https://t.co/x00Lr8K09c",Thu Aug 30 17:40:26 +0000 2018,0.7184,0.25,0.75,0.0
122,CBS News,"Grant Woods, former AZ Attorney General, talks about his first two hours as John McCain's chief of staff: ""It was o… https://t.co/p19EjDe1Jr",Thu Aug 30 17:22:28 +0000 2018,0.3612,0.106,0.894,0.0
